"","Month","Color","Deform","Trt","SL","SH","SW","LL","PL","AL","UL","LCT","LPAS","PW","AW","PVM","PS","CT (RIGHT TEETH)","Total wt","muscle wt"
"124","January","G27",NA,5,37.18,22.01125,16.963125,10,20.9725,14.54125,29.76,11.8525,16.1825,6.25,2.86,5.03,6.33,2.7855,20.18,3.6
"125","January","G28","D",5,36.28,22.01125,16.963125,9.62,20.9725,14.54125,28.46,11.8525,16.1825,6.77,2.86,5.03,5.73,2.7855,19.12,5.17
"126","January","G29",NA,5,34.08,22.01125,16.963125,8.22,20.9725,14.54125,25.87,11.8525,16.1825,6.1,2.86,5.03,6.48,2.7855,18.61,6.5
"127","January","G30",NA,5,38.51,22.01125,16.963125,8.36,20.9725,14.54125,28.74,11.8525,16.1825,5.28,2.86,5.03,7.69,2.7855,21.65,3.79
"128","January","G31","D",5,40.22,22.01125,16.963125,10.49,20.9725,14.54125,30.1,11.8525,16.1825,7.29,2.86,5.03,6.5,2.7855,23.2,5.02
"129","January","G32",NA,5,41.24,22.01125,16.963125,10.29,20.9725,14.54125,31.75,11.8525,16.1825,7.06,2.86,5.03,7.54,2.7855,24.32,4.27
"130","January","G33",NA,5,37.19,22.01125,16.963125,11.87,20.9725,14.54125,28.75,11.8525,16.1825,6.68,2.86,5.03,6.59,2.7855,20.02,4.3
"131","January","G34",NA,5,39.81,22.01125,16.963125,10.65,20.9725,14.54125,31.87,11.8525,16.1825,6.8,2.86,5.03,7.06,2.7855,22.58,0.43
"132","January","G35",NA,5,34.64,22.01125,16.963125,9.16,20.9725,14.54125,26.69,11.8525,16.1825,6.28,2.86,5.03,6.08,2.7855,18.48,0.5
"133","January","G36",NA,5,40.08,22.01125,16.963125,10.09,20.9725,14.54125,31.12,11.8525,16.1825,7.16,2.86,5.03,6.88,2.7855,24.11,1.87
"134","January","G37",NA,5,36.55,22.01125,16.963125,10.83,20.9725,14.54125,28.48,11.8525,16.1825,6.56,2.86,5.03,6.19,2.7855,19.03,4.31
"135","January","G38",NA,5,39.61,22.01125,16.963125,10.73,20.9725,14.54125,30.91,11.8525,16.1825,6.97,2.86,5.03,7.19,2.7855,22.42,3.52
"136","January","G39",NA,5,37.63,22.01125,16.963125,9.62,20.9725,14.54125,28.78,11.8525,16.1825,6.84,2.86,5.03,6.81,2.7855,20.98,3.6
"137","January","G40",NA,5,39.51,22.01125,16.963125,10.95,20.9725,14.54125,30.95,11.8525,16.1825,8.24,2.86,5.03,7.37,2.7855,22.73,2.65
"138","January","G41",NA,5,39.87,22.01125,16.963125,10.18,20.9725,14.54125,29.92,11.8525,16.1825,6.93,2.86,5.03,7.49,2.7855,21.2,3.81
"139","January","G42",NA,5,37.24,22.01125,16.963125,10.12,20.9725,14.54125,29.18,11.8525,16.1825,6.9,2.86,5.03,6.63,2.7855,20.43,2.35
"140","January","G43",NA,5,37.88,22.01125,16.963125,9.96,20.9725,14.54125,29.91,11.8525,16.1825,6.85,2.86,5.03,6.35,2.7855,21.17,2.06
